factor,IC_mean,IC_std,ICIR,t_stat,IC>0_%,N,Sig
F96_asset_turn,-0.01681821228771795,0.14887860679474463,-0.11296594352810418,-0.9315410345278666,39.705882352941174,68,False
F93_profit_ta,-0.017096843033579417,0.1614588084948752,-0.10588981296812977,-0.8731897670889955,45.588235294117645,68,False
F84_roe,-0.014654705099376329,0.1409919035117521,-0.1039400471542312,-0.8571115862971511,41.17647058823529,68,False
F67_cci,-0.017859336514789558,0.1715129905953938,-0.10412818558403233,-0.852325932500308,49.25373134328358,67,False
F59_rsi14,-0.015853080578360778,0.1544872504782077,-0.1026174038911842,-0.8336677301960201,40.909090909090914,66,False
F51_gain,-0.016715424289507758,0.17000926510354064,-0.0983206666961802,-0.8047893416739259,47.76119402985074,67,False
F58_gain_abs,-0.016715424289507758,0.17000926510354064,-0.0983206666961802,-0.8047893416739259,47.76119402985074,67,False
F92_rev_asset,-0.014113238122500892,0.14575338216207948,-0.09682957550039425,-0.7984771349436911,39.705882352941174,68,False
F38_amihud_trend,0.012227025042269383,0.12477788136338722,0.09799032415577687,0.7900232501831985,47.69230769230769,65,False
F12_mom_cons,-0.013507828391422973,0.14011569821567493,-0.09640481804280682,-0.7891074445885479,50.74626865671642,67,False
F65_bollinger,-0.01630152271826551,0.17409013687111025,-0.09363840485882632,-0.7664633767649087,49.25373134328358,67,False
F101_ni_chg,-0.010133577224989717,0.09757899516632164,-0.10384998541660752,-0.7416372381579214,47.05882352941176,51,False
F43_turn_mom,-0.010538471413247407,0.11872027065281418,-0.08876724552006908,-0.7265912191691798,46.26865671641791,67,False
F78_fcf_mv,0.009159887888321706,0.1042125043822742,0.08789624568200799,0.7248110100843183,52.94117647058824,68,False
F90_ebitda_ta,-0.012769864651970619,0.14954527723638264,-0.08539129344610194,-0.7041546447727828,44.11764705882353,68,False
F20_close_ma21,-0.014690259313002378,0.17165153877393424,-0.08558186788147298,-0.7005177794856368,52.23880597014925,67,False
F06_mom6m,-0.019777159943655483,0.22571446479217486,-0.08762025934786756,-0.6843361021745396,47.540983606557376,61,False
F45_vr_m,-0.009071424714957487,0.11204216758349965,-0.08096438073814477,-0.6627220182979097,43.28358208955223,67,False
F62_ma_cross,-0.012460648847919613,0.16247793721476406,-0.07669132844448334,-0.6277455778616321,47.76119402985074,67,False
F89_eps,-0.00870647830702029,0.11619734755987986,-0.07492837392465941,-0.6178752000942938,48.529411764705884,68,False
F07_mom12_1m,0.016647648803745384,0.2266958309771472,0.07343606069854722,0.5446164022508312,54.54545454545454,55,False
F53_gl_ratio,-0.00896433010261252,0.14997046361820668,-0.05977397072955527,-0.48560603380449285,46.96969696969697,66,False
F85_roa_proxy,-0.008864458699290841,0.15134355719187206,-0.058571761254775825,-0.48299511666380146,48.529411764705884,68,False
F49_cgo,-0.009952635405462956,0.17162449610317618,-0.05799076257435705,-0.4746748491810106,53.73134328358209,67,False
F01_mom1w,-0.01053255946411669,0.18392295040466936,-0.05726615107545216,-0.46874364843991884,50.74626865671642,67,False
F56_loss_aver,-0.012181797963839024,0.14902936305196854,-0.08174092483768496,-0.46239649802549543,53.125,32,False
F08_p52w,0.011328169226565049,0.21787123710121897,0.05199479002959069,0.4060922919774452,54.09836065573771,61,False
F42_turn_accel,-0.00667114491023041,0.13583598644316153,-0.04911176400976664,-0.3959516999203509,46.15384615384615,65,False
F64_close_open,-0.006971115406579701,0.1600465136609664,-0.04355680887461831,-0.359178647409784,48.529411764705884,68,False
F83_size_trend,-0.007198676729506331,0.17570987589845108,-0.04096910713013479,-0.3353465946087882,58.2089552238806,67,False
F25_kurt,0.003505581834977404,0.09056438769276182,0.03870817132745415,0.31684003746929046,49.25373134328358,67,False
F35_ivol_trend,-0.004876677603874289,0.13523025529653918,-0.03606203059500616,-0.2907413855839677,47.69230769230769,65,False
F29_vol_accel,-0.004876677603874289,0.13523025529653918,-0.03606203059500616,-0.2907413855839677,47.69230769230769,65,False
F86_npm,0.0032421320455682245,0.09961874617156745,0.03254540104313794,0.2683762522578898,51.470588235294116,68,False
F100_ptgr,0.0032153411841276775,0.09933053442210678,0.032370118643115633,0.2669308365586824,51.470588235294116,68,False
F60_price_range,-0.005394562650960729,0.1736801920214078,-0.0310603217797905,-0.25423969097545845,50.74626865671642,67,False
F57_cgo_sign,0.009984875542170991,0.1730261582827226,0.05770731802214454,0.2159210127484701,57.14285714285714,14,False
F03_mom1m,-0.0038369640758317653,0.17563813039473408,-0.021845849003336942,-0.17881598069337107,58.2089552238806,67,False
F48_turn_skew,-0.0018697664628145759,0.10038962043742397,-0.018625097442021513,-0.15245299297344528,50.74626865671642,67,False
F09_p26w,0.0029329414905626115,0.2071738673643251,0.014156908532314523,0.1141366455066066,53.84615384615385,65,False
F61_vpc,0.001763144119089027,0.13817194699679172,0.012760507160907026,0.1044492526600286,49.25373134328358,67,False
F50_loss,0.0018328023463378652,0.1641731894974768,0.011163834679389193,0.0906954216783646,51.515151515151516,66,False
F24_skew,-0.0007271357991551233,0.10135889348602294,-0.0071738727026986835,-0.05872067881209478,46.26865671641791,67,False
F28_ud_ratio,0.0006475879858711573,0.11267285413586554,0.005747506716127641,0.04704537003021092,47.76119402985074,67,False
